id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
77,Static Engine,South Bloom,lofi,warm,0.49,74,0.62,0.68,0.91
78,Cobalt Harbor,Radio Wanderers,lofi,warm,0.38,73,0.65,0.53,0.85
79,Midnight Current,MC Room,ambient,happy,0.36,69,0.78,0.36,0.94
80,Cobalt Skyline,House Circuit,ambient,happy,0.16,59,0.57,0.32,0.82
81,Nova Canvas,The Echo,ambient,chill,0.25,66,0.64,0.20,0.99
82,Lunar Replay,Project Room,ambient,chill,0.28,57,0.38,0.23,0.75
83,Lunar Harbor,Collective Parade,ambient,focused,0.22,77,0.43,0.36,0.97
84,Echo Canvas,South Bloom,ambient,focused,0.19,83,0.58,0.45,0.84
85,Solar Boulevard,Studio Harbor,ambient,intense,0.20,77,0.58,0.36,0.74
86,Digital Circuit,House Thread,ambient,intense,0.28,63,0.45,0.28,0.99
87,Crystal Orbit,North Room,ambient,calm,0.20,79,0.62,0.31,0.96
88,Midnight Skyline,Radio Bloom,ambient,calm,0.16,79,0.58,0.28,0.79
89,Aurora Harbor,Radio Bloom,ambient,dark,0.36,70,0.51,0.28,0.88
90,Static Pulse,North Bloom,ambient,dark,0.27,59,0.37,0.36,0.99
91,Digital Mirage,The Parade,ambient,romantic,0.14,75,0.63,0.41,0.95
92,Static Archive,Studio Pulse,ambient,romantic,0.19,64,0.54,0.38,0.83
93,Nova Circuit,Project Thread,ambient,nostalgic,0.29,69,0.50,0.32,0.81
94,Digital Skyline,South Harbor,ambient,nostalgic,0.08,69,0.64,0.24,0.78
95,Atlas Pulse,North Wanderers,ambient,joyful,0.26,85,0.75,0.27,0.83
96,Digital Circuit,The Unit,ambient,joyful,0.19,85,0.65,0.39,0.75
97,Digital Circuit,DJ Pulse,ambient,warm,0.19,67,0.57,0.47,0.79
98,Atlas Canvas,Project Parade,ambient,warm,0.24,70,0.70,0.23,0.99
99,Cobalt Mirage,Radio Circuit,electronic,happy,0.87,126,0.83,0.92,0.20
100,Lunar Highway,Project Circuit,electronic,happy,0.95,147,0.73,0.92,0.14
101,Urban Orbit,Radio Circuit,electronic,chill,0.83,117,0.60,0.75,0.01
102,Nova Skyline,South Bloom,electronic,chill,0.68,122,0.64,0.99,0.01
103,Midnight Boulevard,MC Circuit,electronic,focused,0.77,131,0.77,0.99,0.22
104,Atlas Rhythm,Collective Harbor,electronic,focused,0.81,141,0.87,0.86,0.09
105,Ocean Skyline,The Parade,electronic,intense,0.93,127,0.66,0.99,0.18
106,Crystal Replay,The Wanderers,electronic,intense,0.85,136,0.75,0.91,0.01
107,Digital Canvas,Radio Thread,electronic,calm,0.78,135,0.87,0.78,0.13
108,Digital Drift,House Harbor,electronic,calm,0.77,123,0.58,0.78,0.07
109,Prism Pulse,North Room,electronic,dark,0.81,115,0.53,0.76,0.20
110,Silver Highway,Collective Harbor,electronic,dark,0.90,118,0.57,0.96,0.15
111,Ocean Letters,MC Circuit,electronic,romantic,0.77,122,0.94,0.88,0.01
112,Urban Circuit,MC Room,electronic,romantic,0.87,131,0.65,0.99,0.25
113,Digital Letters,Radio Harbor,electronic,nostalgic,0.89,122,0.79,0.85,0.09
114,Midnight Skyline,House Thread,electronic,nostalgic,0.70,118,0.76,0.95,0.01
115,Solar Replay,Radio Wanderers,electronic,joyful,0.96,130,0.92,0.81,0.03
116,Aurora Highway,Project Unit,electronic,joyful,0.85,129,0.74,0.96,0.06
117,Cobalt Rhythm,MC Room,electronic,warm,0.83,142,0.77,0.83,0.09
118,Urban Circuit,North Room,electronic,warm,0.97,116,0.97,0.83,0.01
119,Crystal Signal,South Pulse,indie,happy,0.52,99,0.88,0.78,0.33
120,Aurora Waves,North Echo,indie,happy,0.68,124,0.88,0.75,0.44
121,Midnight Current,DJ Parade,indie,chill,0.60,102,0.74,0.58,0.38
122,Atlas Mosaic,Studio Pulse,indie,chill,0.56,118,0.82,0.50,0.59
123,Midnight Orbit,House Unit,indie,focused,0.48,113,0.69,0.73,0.36
124,Urban Skyline,The Room,indie,focused,0.61,111,0.70,0.56,0.53
125,Solar Drift,House Circuit,indie,intense,0.80,118,0.45,0.62,0.42
126,Cobalt Replay,Studio Unit,indie,intense,0.69,104,0.75,0.75,0.34
127,Neon Replay,The Unit,indie,calm,0.52,119,0.50,0.74,0.44
128,Binary Letters,Project Unit,indie,calm,0.63,123,0.82,0.72,0.38
129,Lunar Boulevard,Collective Room,indie,dark,0.64,121,0.67,0.69,0.35
130,Sonic Harbor,Project Wanderers,indie,dark,0.59,107,0.44,0.76,0.42
131,Golden Skyline,Radio Circuit,indie,romantic,0.71,125,0.70,0.64,0.40
132,Nova Rhythm,North Thread,indie,romantic,0.70,106,0.61,0.78,0.35
133,Crystal Replay,House Thread,indie,nostalgic,0.47,108,0.59,0.53,0.43
134,Ocean Letters,DJ Room,indie,nostalgic,0.48,102,0.50,0.76,0.50
135,Atlas Waves,DJ Parade,indie,joyful,0.74,104,0.72,0.53,0.64
136,Static Current,South Wanderers,indie,joyful,0.58,113,0.71,0.60,0.64
137,Crystal Boulevard,Studio Bloom,indie,warm,0.73,117,0.87,0.67,0.64
138,Static Mosaic,The Pulse,indie,warm,0.63,128,0.88,0.52,0.55
139,Echo Orbit,The Echo,jazz,happy,0.39,112,0.86,0.62,0.69
140,Static Highway,South Bloom,jazz,happy,0.51,86,0.57,0.54,0.68
141,Crystal Memory,MC Harbor,jazz,chill,0.45,86,0.72,0.61,0.87
142,Nova Replay,Studio Echo,jazz,chill,0.31,84,0.68,0.38,0.67
143,Digital Mirage,Studio Harbor,jazz,focused,0.29,79,0.71,0.53,0.93
144,Prism Drift,Radio Echo,jazz,focused,0.39,94,0.52,0.55,0.92
145,Urban Canvas,DJ Thread,jazz,intense,0.39,95,0.48,0.58,0.84
146,Aurora Rhythm,South Harbor,jazz,intense,0.53,80,0.44,0.56,0.86
147,Static Highway,House Room,jazz,calm,0.32,96,0.59,0.61,0.70
148,Aurora Current,Studio Circuit,jazz,calm,0.46,92,0.74,0.49,0.92
149,Midnight Current,DJ Thread,jazz,dark,0.47,83,0.67,0.39,0.96
150,Lunar Current,Studio Pulse,jazz,dark,0.57,98,0.55,0.54,0.78
151,Solar Archive,Project Wanderers,jazz,romantic,0.53,103,0.87,0.55,0.79
152,Crystal Replay,Project Pulse,jazz,romantic,0.48,86,0.56,0.62,0.79
153,Neon Orbit,Collective Echo,jazz,nostalgic,0.45,113,0.73,0.55,0.89
154,Velvet Replay,House Parade,jazz,nostalgic,0.29,103,0.55,0.47,0.66
155,Sonic Mirage,Studio Wanderers,jazz,joyful,0.35,100,0.53,0.59,0.74
156,Silver Memory,MC Unit,jazz,joyful,0.41,103,0.80,0.54,0.69
157,Sonic Skyline,Project Harbor,jazz,warm,0.33,80,0.68,0.50,0.88
158,Atlas Boulevard,Project Pulse,jazz,warm,0.35,93,0.62,0.57,0.84
159,Crystal Drift,Studio Parade,classical,happy,0.34,55,0.48,0.33,0.99
160,Prism Engine,Studio Parade,classical,happy,0.10,78,0.47,0.16,0.99
161,Aurora Replay,House Unit,classical,chill,0.13,78,0.49,0.19,0.79
162,Golden Orbit,Radio Thread,classical,chill,0.13,75,0.43,0.17,0.99
163,Cobalt Drift,Studio Bloom,classical,focused,0.05,82,0.42,0.23,0.95
164,Binary Mosaic,MC Bloom,classical,focused,0.11,58,0.51,0.08,0.94
165,Midnight Harbor,Radio Room,classical,intense,0.18,61,0.29,0.10,0.99
166,Ocean Signal,Studio Wanderers,classical,intense,0.34,79,0.39,0.33,0.96
167,Binary Archive,DJ Circuit,classical,calm,0.14,68,0.56,0.29,0.97
168,Midnight Orbit,South Harbor,classical,calm,0.14,55,0.46,0.14,0.99
169,Solar Highway,Studio Unit,classical,dark,0.25,72,0.57,0.27,0.77
170,Aurora Canvas,North Wanderers,classical,dark,0.27,57,0.25,0.08,0.99
171,Binary Mosaic,Collective Pulse,classical,romantic,0.11,77,0.77,0.21,0.98
172,Midnight Signal,DJ Harbor,classical,romantic,0.20,64,0.63,0.29,0.99
173,Velvet Signal,DJ Unit,classical,nostalgic,0.19,62,0.59,0.25,0.99
174,Velvet Orbit,DJ Circuit,classical,nostalgic,0.19,85,0.44,0.25,0.99
175,Prism Canvas,House Harbor,classical,joyful,0.23,75,0.53,0.09,0.99
176,Digital Highway,Project Wanderers,classical,joyful,0.19,65,0.47,0.11,0.99
177,Prism Boulevard,Studio Unit,classical,warm,0.14,62,0.69,0.20,0.95
178,Golden Mirage,The Pulse,classical,warm,0.13,65,0.47,0.30,0.99
179,Urban Letters,North Bloom,hip hop,happy,0.73,109,0.89,0.93,0.24
180,Solar Mirage,Radio Circuit,hip hop,happy,0.71,113,0.71,0.99,0.10
181,Ocean Memory,Collective Echo,hip hop,chill,0.76,102,0.61,0.80,0.04
182,Lunar Drift,DJ Wanderers,hip hop,chill,0.72,115,0.66,0.78,0.27
183,Nova Mirage,Studio Echo,hip hop,focused,0.64,116,0.51,0.88,0.31
184,Nova Pulse,Studio Parade,hip hop,focused,0.67,98,0.59,0.87,0.01
185,Digital Memory,Radio Room,hip hop,intense,0.90,107,0.64,0.79,0.07
186,Ocean Archive,House Parade,hip hop,intense,0.85,116,0.37,0.81,0.02
187,Ocean Mirage,DJ Parade,hip hop,calm,0.76,92,0.50,0.82,0.20
188,Velvet Drift,House Echo,hip hop,calm,0.77,101,0.65,0.94,0.18
189,Binary Canvas,North Harbor,hip hop,dark,0.85,92,0.51,0.95,0.01
190,Cobalt Mosaic,Collective Echo,hip hop,dark,0.82,119,0.56,0.87,0.14
191,Solar Signal,MC Echo,hip hop,romantic,0.73,86,0.63,0.95,0.01
192,Digital Harbor,MC Parade,hip hop,romantic,0.72,96,0.77,0.99,0.22
193,Silver Signal,Collective Harbor,hip hop,nostalgic,0.74,117,0.47,0.81,0.25
194,Atlas Mosaic,The Thread,hip hop,nostalgic,0.67,113,0.63,0.76,0.20
195,Cobalt Signal,MC Room,hip hop,joyful,0.71,112,0.70,0.87,0.13
196,Sonic Canvas,House Unit,hip hop,joyful,0.81,97,0.83,0.83,0.01
197,Atlas Drift,Radio Unit,hip hop,warm,0.88,90,0.65,0.78,0.09
198,Binary Orbit,House Circuit,hip hop,warm,0.81,89,0.70,0.88,0.23
199,Prism Harbor,The Wanderers,r&b,happy,0.65,108,0.62,0.87,0.33
200,Binary Mosaic,House Unit,r&b,happy,0.70,104,0.76,0.71,0.26
201,Midnight Replay,MC Harbor,r&b,chill,0.44,85,0.68,0.78,0.34
202,Golden Waves,North Pulse,r&b,chill,0.52,91,0.62,0.96,0.19
203,Ocean Drift,Radio Bloom,r&b,focused,0.65,84,0.80,0.88,0.26
204,Midnight Signal,Studio Parade,r&b,focused,0.46,110,0.68,0.94,0.34
205,Golden Mosaic,North Bloom,r&b,intense,0.69,90,0.53,0.72,0.44
206,Static Replay,Studio Room,r&b,intense,0.59,87,0.47,0.91,0.19
207,Digital Archive,House Pulse,r&b,calm,0.62,99,0.74,0.70,0.29
208,Prism Mosaic,MC Harbor,r&b,calm,0.63,82,0.87,0.86,0.34
209,Silver Circuit,North Wanderers,r&b,dark,0.71,86,0.77,0.80,0.51
210,Prism Drift,DJ Circuit,r&b,dark,0.63,85,0.76,0.74,0.52
211,Midnight Archive,MC Unit,r&b,romantic,0.55,114,0.70,0.86,0.40
212,Solar Boulevard,The Parade,r&b,romantic,0.73,85,0.84,0.89,0.40
213,Sonic Orbit,The Room,r&b,nostalgic,0.44,103,0.73,0.87,0.46
214,Cobalt Drift,Radio Parade,r&b,nostalgic,0.64,99,0.75,0.76,0.27
215,Velvet Signal,Studio Thread,r&b,joyful,0.67,85,0.75,0.81,0.30
216,Urban Circuit,Collective Room,r&b,joyful,0.73,84,0.73,0.84,0.29
217,Nova Harbor,Studio Unit,r&b,warm,0.56,83,0.70,0.79,0.40
218,Atlas Waves,The Parade,r&b,warm,0.67,86,0.66,0.97,0.35
219,Silver Drift,Radio Unit,afrobeat,happy,0.95,118,0.99,0.84,0.09
220,Sonic Memory,Collective Thread,afrobeat,happy,0.93,123,0.87,0.94,0.26
221,Static Drift,DJ Pulse,afrobeat,chill,0.83,113,0.76,0.95,0.03
222,Lunar Memory,DJ Pulse,afrobeat,chill,0.77,127,0.72,0.99,0.20
223,Ocean Archive,House Harbor,afrobeat,focused,0.74,135,0.82,0.89,0.01
224,Velvet Orbit,North Wanderers,afrobeat,focused,0.66,101,0.88,0.99,0.15
225,Atlas Replay,Studio Harbor,afrobeat,intense,0.86,122,0.58,0.99,0.23
226,Binary Signal,DJ Pulse,afrobeat,intense,0.98,119,0.78,0.87,0.25
227,Digital Skyline,South Unit,afrobeat,calm,0.79,128,0.88,0.99,0.01
228,Cobalt Memory,Project Echo,afrobeat,calm,0.70,101,0.79,0.94,0.22
229,Sonic Highway,House Harbor,afrobeat,dark,0.92,125,0.59,0.91,0.11
230,Velvet Archive,Project Harbor,afrobeat,dark,0.97,133,0.83,0.99,0.01
231,Static Signal,North Thread,afrobeat,romantic,0.80,123,0.89,0.87,0.02
232,Digital Highway,Project Circuit,afrobeat,romantic,0.88,131,0.95,0.99,0.06
233,Echo Waves,Studio Room,afrobeat,nostalgic,0.78,108,0.97,0.87,0.06
234,Static Rhythm,House Thread,afrobeat,nostalgic,0.73,133,0.91,0.86,0.01
235,Binary Mirage,Collective Room,afrobeat,joyful,0.95,128,0.80,0.87,0.22
236,Lunar Orbit,South Bloom,afrobeat,joyful,0.77,129,0.80,0.95,0.06
237,Sonic Signal,Radio Parade,afrobeat,warm,0.78,124,0.89,0.97,0.01
238,Digital Waves,Project Circuit,afrobeat,warm,0.88,104,0.99,0.99,0.02
239,Static Boulevard,MC Pulse,metal,happy,0.89,169,0.59,0.38,0.10
240,Digital Harbor,Collective Echo,metal,happy,0.99,152,0.59,0.65,0.03
241,Static Archive,Radio Wanderers,metal,chill,0.74,166,0.22,0.64,0.01
242,Urban Skyline,MC Echo,metal,chill,0.92,162,0.25,0.38,0.01
243,Cobalt Current,North Thread,metal,focused,0.92,174,0.38,0.58,0.01
244,Nova Pulse,Collective Pulse,metal,focused,0.76,170,0.25,0.39,0.01
245,Neon Skyline,Studio Bloom,metal,intense,0.93,173,0.42,0.44,0.15
246,Atlas Circuit,Collective Thread,metal,intense,0.88,150,0.19,0.47,0.07
247,Ocean Mosaic,House Harbor,metal,calm,0.89,153,0.23,0.40,0.16
248,Ocean Canvas,North Room,metal,calm,0.92,173,0.47,0.60,0.16
249,Prism Highway,South Harbor,metal,dark,0.99,159,0.41,0.38,0.19
250,Solar Waves,DJ Harbor,metal,dark,0.91,157,0.27,0.38,0.01
251,Static Mirage,Collective Echo,metal,romantic,0.92,148,0.31,0.47,0.09
252,Binary Canvas,North Echo,metal,romantic,0.91,175,0.53,0.52,0.01
253,Velvet Current,Studio Pulse,metal,nostalgic,0.92,148,0.52,0.36,0.04
254,Static Memory,Studio Parade,metal,nostalgic,0.85,179,0.32,0.37,0.24
255,Neon Pulse,Collective Room,metal,joyful,0.85,165,0.45,0.57,0.01
256,Binary Memory,Collective Bloom,metal,joyful,0.97,165,0.45,0.60,0.01
257,Neon Letters,Project Parade,metal,warm,0.99,172,0.30,0.59,0.04
258,Silver Rhythm,Radio Bloom,metal,warm,0.83,147,0.48,0.56,0.01
259,Nova Replay,Studio Unit,country,happy,0.53,105,0.84,0.47,0.90
260,Prism Letters,House Circuit,country,happy,0.54,102,0.68,0.52,0.59
261,Sonic Engine,Radio Echo,country,chill,0.40,98,0.69,0.65,0.60
262,Sonic Current,MC Circuit,country,chill,0.56,111,0.72,0.67,0.65
263,Velvet Mirage,The Harbor,country,focused,0.42,105,0.65,0.68,0.65
264,Aurora Canvas,Radio Thread,country,focused,0.43,92,0.67,0.55,0.63
265,Ocean Boulevard,DJ Bloom,country,intense,0.48,104,0.45,0.51,0.78
266,Aurora Drift,The Bloom,country,intense,0.65,99,0.62,0.50,0.62
267,Nova Orbit,Project Pulse,country,calm,0.55,112,0.52,0.73,0.71
268,Binary Drift,Collective Thread,country,calm,0.55,97,0.76,0.54,0.73
269,Aurora Highway,Studio Thread,country,dark,0.58,95,0.42,0.72,0.71
270,Solar Replay,House Circuit,country,dark,0.56,98,0.46,0.47,0.63
271,Aurora Skyline,Radio Room,country,romantic,0.44,89,0.70,0.68,0.72
272,Golden Engine,The Harbor,country,romantic,0.51,104,0.69,0.47,0.74
273,Sonic Memory,Project Parade,country,nostalgic,0.34,108,0.82,0.63,0.82
274,Ocean Waves,Radio Echo,country,nostalgic,0.50,78,0.66,0.54,0.76
275,Atlas Pulse,North Pulse,country,joyful,0.40,97,0.56,0.59,0.64
276,Echo Orbit,North Circuit,country,joyful,0.59,110,0.60,0.46,0.59
277,Solar Letters,Project Circuit,country,warm,0.60,87,0.70,0.54,0.69
278,Midnight Rhythm,House Pulse,country,warm,0.56,108,0.80,0.69,0.81
279,Sonic Signal,South Parade,drum and bass,happy,0.96,156,0.46,0.76,0.05
280,Solar Waves,Collective Echo,drum and bass,happy,0.99,187,0.54,0.98,0.12
281,Golden Signal,The Bloom,drum and bass,chill,0.92,178,0.48,0.87,0.11
282,Golden Replay,Project Unit,drum and bass,chill,0.90,181,0.64,0.83,0.01
283,Velvet Canvas,North Thread,drum and bass,focused,0.92,168,0.70,0.81,0.14
284,Ocean Rhythm,Studio Echo,drum and bass,focused,0.77,169,0.68,0.81,0.15
285,Cobalt Current,MC Unit,drum and bass,intense,0.99,182,0.44,0.78,0.07
286,Midnight Skyline,MC Pulse,drum and bass,intense,0.99,157,0.50,0.95,0.13
287,Neon Drift,Radio Thread,drum and bass,calm,0.92,176,0.65,0.81,0.01
288,Prism Current,DJ Echo,drum and bass,calm,0.92,157,0.41,0.84,0.07
289,Neon Drift,House Pulse,drum and bass,dark,0.91,173,0.49,0.95,0.18
290,Prism Harbor,House Wanderers,drum and bass,dark,0.99,180,0.48,0.99,0.01
291,Sonic Drift,Radio Parade,drum and bass,romantic,0.86,164,0.64,0.73,0.03
292,Urban Circuit,MC Circuit,drum and bass,romantic,0.92,187,0.72,0.86,0.09
293,Urban Signal,House Unit,drum and bass,nostalgic,0.76,168,0.68,0.82,0.18
294,Cobalt Signal,Collective Room,drum and bass,nostalgic,0.79,165,0.72,0.77,0.01
295,Binary Circuit,South Bloom,drum and bass,joyful,0.99,182,0.58,0.79,0.15
296,Urban Highway,Radio Circuit,drum and bass,joyful,0.97,173,0.71,0.88,0.21
297,Velvet Drift,Project Circuit,drum and bass,warm,0.99,156,0.77,0.95,0.11
298,Digital Replay,House Harbor,drum and bass,warm,0.99,179,0.74,0.73,0.23
299,Binary Engine,South Parade,synthwave,happy,0.74,129,0.69,0.77,0.32
300,Solar Rhythm,Studio Pulse,synthwave,happy,0.65,104,0.68,0.66,0.26
301,Solar Letters,Radio Thread,synthwave,chill,0.58,99,0.44,0.83,0.24
302,Neon Waves,DJ Circuit,synthwave,chill,0.64,123,0.57,0.76,0.16
303,Atlas Signal,Radio Bloom,synthwave,focused,0.65,130,0.40,0.89,0.09
304,Midnight Drift,The Parade,synthwave,focused,0.68,108,0.40,0.83,0.20
305,Nova Archive,MC Harbor,synthwave,intense,0.69,108,0.30,0.85,0.37
306,Golden Harbor,House Pulse,synthwave,intense,0.72,116,0.61,0.68,0.19
307,Echo Highway,Collective Parade,synthwave,calm,0.56,118,0.43,0.79,0.18
308,Lunar Skyline,Radio Harbor,synthwave,calm,0.69,124,0.55,0.72,0.11
309,Binary Mirage,South Wanderers,synthwave,dark,0.91,107,0.40,0.73,0.08
310,Velvet Signal,DJ Bloom,synthwave,dark,0.88,121,0.37,0.79,0.07
311,Velvet Replay,House Pulse,synthwave,romantic,0.69,102,0.69,0.76,0.19
312,Static Harbor,Radio Circuit,synthwave,romantic,0.66,118,0.69,0.80,0.40
313,Neon Waves,MC Bloom,synthwave,nostalgic,0.58,107,0.52,0.63,0.17
314,Sonic Mirage,Radio Wanderers,synthwave,nostalgic,0.75,130,0.54,0.76,0.29
315,Static Drift,MC Room,synthwave,joyful,0.64,97,0.71,0.70,0.14
316,Crystal Engine,Studio Harbor,synthwave,joyful,0.76,123,0.62,0.76,0.25
317,Lunar Letters,Collective Echo,synthwave,warm,0.82,97,0.70,0.77,0.40
318,Nova Highway,South Thread,synthwave,warm,0.73,108,0.73,0.74,0.40
319,Echo Boulevard,South Thread,folk,happy,0.50,89,0.73,0.49,0.99
320,Solar Skyline,North Parade,folk,happy,0.42,89,0.64,0.60,0.83
321,Velvet Memory,Project Wanderers,folk,chill,0.25,95,0.65,0.33,0.82
322,Solar Skyline,House Pulse,folk,chill,0.39,97,0.77,0.51,0.90
323,Crystal Mosaic,Radio Room,folk,focused,0.33,90,0.82,0.34,0.91
324,Urban Mosaic,DJ Harbor,folk,focused,0.30,68,0.78,0.53,0.98
325,Atlas Signal,North Unit,folk,intense,0.45,102,0.70,0.46,0.84
326,Silver Circuit,Radio Echo,folk,intense,0.38,98,0.68,0.58,0.99
327,Echo Memory,Collective Wanderers,folk,calm,0.25,98,0.66,0.31,0.99
328,Golden Boulevard,House Circuit,folk,calm,0.43,99,0.53,0.42,0.75
329,Echo Waves,DJ Wanderers,folk,dark,0.52,95,0.55,0.34,0.75
330,Lunar Current,MC Room,folk,dark,0.49,86,0.56,0.31,0.84
331,Atlas Memory,House Wanderers,folk,romantic,0.31,81,0.84,0.34,0.83
